questionnaire_number,source_question,variable,item_type,storage_type,original_label,original_options,scoring,instrument,dimension,direction,interpretation
A_q2,您的性别,A_q2,单选,numeric,性别,1=男;2=女,不计分,人口学资料,性别,不适用,1必须在正式导出中再次确认代表男性
ICIQ-MLUTS,尿频,I_q1,单选,numeric,尿频,原始导出0～4;须与正式问卷核对,0～4,ICIQ-MLUTS-LF,储尿症状,正向,分数越高症状越重
ICIQ-MLUTS,夜尿,I_q3,单选,numeric,夜尿,原始导出0～4;须与正式问卷核对,0～4,ICIQ-MLUTS-LF,储尿症状,正向,分数越高症状越重
ICIQ-MLUTS,尿急,I_q5,单选,numeric,尿急,原始导出0～4;须与正式问卷核对,0～4,ICIQ-MLUTS-LF,储尿症状,正向,分数越高症状越重
ICIQ-MLUTS,急迫性尿失禁,I_q7,单选,numeric,急迫性尿失禁,原始导出0～4;须与正式问卷核对,0～4,ICIQ-MLUTS-LF,储尿症状,正向,分数越高症状越重
ICIQ-MLUTS,压力性尿失禁,I_q11,单选,numeric,压力性尿失禁,原始导出0～4;须与正式问卷核对,0～4,ICIQ-MLUTS-LF,储尿症状,正向,分数越高症状越重
ICIQ-MLUTS,无明显诱因尿失禁,I_q13,单选,numeric,无明显诱因尿失禁,原始导出0～4;须与正式问卷核对,0～4,ICIQ-MLUTS-LF,储尿症状,正向,分数越高症状越重
ICIQ-MLUTS,排尿等待,I_q15,单选,numeric,排尿等待,原始导出0～4;须与正式问卷核对,0～4,ICIQ-MLUTS-LF,排尿症状,正向,分数越高症状越重
ICIQ-MLUTS,持续排尿需用力,I_q19,单选,numeric,持续排尿需用力,原始导出0～4;须与正式问卷核对,0～4,ICIQ-MLUTS-LF,排尿症状,正向,分数越高症状越重
ICIQ-MLUTS,尿线减弱,I_q23,单选,numeric,尿线减弱,原始导出0～4;须与正式问卷核对,0～4,ICIQ-MLUTS-LF,排尿症状,正向,分数越高症状越重
ICIQ-MLUTS,尿流中断,I_q27,单选,numeric,尿流中断,原始导出0～4;须与正式问卷核对,0～4,ICIQ-MLUTS-LF,排尿症状,正向,分数越高症状越重
ICIQ-MLUTS,排尿不尽感,I_q31,单选,numeric,排尿不尽感,原始导出0～4;须与正式问卷核对,0～4,ICIQ-MLUTS-LF,排尿后症状,正向,分数越高症状越重
ICIQ-MLUTS,排尿后滴沥,I_q35,单选,numeric,排尿后滴沥,原始导出0～4;须与正式问卷核对,0～4,ICIQ-MLUTS-LF,排尿后症状,正向,分数越高症状越重
ICIQ-MLUTS,夜间遗尿,I_q37,单选,numeric,夜间遗尿,原始导出0～4;须与正式问卷核对,0～4,ICIQ-MLUTS-LF,储尿症状,正向,分数越高症状越重
SPS-6,因健康问题我的工作压力更加难以调节了,D_q21_1,单选,numeric,SPS-6条目1,1=完全不同意;2=不同意;3=不确定;4=同意;5=完全同意,1～5,SPS-6,工作受限,正向,分数越高生产力损失越严重
SPS-6,因健康问题我没法完成工作中难度大的任务,D_q21_2,单选,numeric,SPS-6条目2,1=完全不同意;2=不同意;3=不确定;4=同意;5=完全同意,1～5,SPS-6,工作受限,正向,分数越高生产力损失越严重
SPS-6,因健康问题让我不能从工作中得到乐趣,D_q21_3,单选,numeric,SPS-6条目3,1=完全不同意;2=不同意;3=不确定;4=同意;5=完全同意,1～5,SPS-6,工作受限,正向,分数越高生产力损失越严重
SPS-6,因健康问题我觉得根本不可能开展某些工作任务,D_q21_4,单选,numeric,SPS-6条目4,1=完全不同意;2=不同意;3=不确定;4=同意;5=完全同意,1～5,SPS-6,工作受限,正向,分数越高生产力损失越严重
SPS-6,尽管健康方面有问题我仍然能集中精神完成工作,D_q21_5,单选,numeric,SPS-6条目5,1=完全不同意;2=不同意;3=不确定;4=同意;5=完全同意,6减原始作答,SPS-6,工作精力,反向,反向后分数越高生产力损失越严重
SPS-6,尽管健康方面有问题我仍觉得精力充沛可以完成所有工作,D_q21_6,单选,numeric,SPS-6条目6,1=完全不同意;2=不同意;3=不确定;4=同意;5=完全同意,6减原始作答,SPS-6,工作精力,反向,反向后分数越高生产力损失越严重
